Rank,title,Author,Price
1,The Psychology of Money,Morgan Housel,₹210.00
2,Atomic Habits: the life-changing million-copy #1 bestseller,James Clear,₹499.00
3,The Hidden Hindu: Science-Fiction meets Indian mythology in a nail biting thriller set in 2020,Akshat Gupta,₹170.00
4,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty",Sudha Murty,₹168.00
5,Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,₹96.00
6,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,₹399.00
7,"Energize Your Mind: Learn the Art of Mastering Your Thoughts, Feelings and Emotions",Gaur Gopal Das,₹193.00
8,BlackBook of English Vocabulary March 2023 by Nikhil Gupta,Nikhil Kr Gupta,₹272.00
9,"Ikigai: The Japanese secret to a long and happy life [Hardcover] García, Héctor and Miralles, Francesc",Francesc Miralles,₹329.00
10,"INDIAN ECONOMY 2 IN 1 2023 ( TELUGU MEDIUM) BY PRABHAKAR CHOUTI Sir AS PER TSPSC, APPSC GROUP 1,2,3",PRABHAKAR CHOUTI,₹449.00
11,The Hidden Hindu (Hindi Translation of The Hidden Hindu),Akshat Gupta,₹145.00
12,My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),Wonder House Books,₹86.00
13,The Power of Your Subconscious Mind,Joseph Murphy,₹115.00
14,Rich Dad Poor Dad : What The Rich Teach Their Kids About Money That The Poor And Middle Class Do Not!: (25th Anniversary Edition),Robert T. Kiyosaki,₹419.00
15,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",Maple Press,₹184.00
16,"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old",Maple Press,₹201.00
17,Don't Believe Everything You Think,Joseph Nguyen,₹209.00
18,R D Sharma Mathematics Class 10 with MCQ in Mathematics - CBSE Examination 2023-2024,R.D. Sharma,₹559.00
19,LIFES AMAZING SECRETS,Gaur Gopal Das,₹136.00
20,"Hidden Hindu Book, The (2)",Akshat Gupta,₹209.00
21,The Hidden Hindu Book 3,Akshat Gupta,₹224.00
22,"Accounting Principles, Industrial Relations & Labour Laws for UPSC EPFO (EO/ AO/ APFC) Exam",Aman Sharma,₹174.30
23,It Starts with us and Free It ends with us,Delhi wale,₹275.00
24,28 Years UPSC Civil Services IAS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2022) 13th Edition,Mrunal Patel,₹389.00
25,R D Sharma Mathematics Class 9 with MCQ in Mathematics - CBSE Examination 2023-2024,R.D. Sharma,₹568.00
26,"Magic of the Lost Temple, The: Illustrated, easy to read and much-loved first full length children's fiction novel by Sudha Murty for ages 8-12",Sudha Murty,₹197.00
27,Shrimad Bhagwat Geeta Yatharoop,A.C. Bhaktivendanta Swami Prabhupada,₹196.00
28,The Sun and the Star (From the World of Percy Jackson),Rick Riordan,₹469.00
29,As a Man Thinketh,James Allen,₹69.00
30,"Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",Oxford University Press,₹249.00
